FOODSTORE_ID,FOODSTORE_NAME,FOODCATEGORY_CODE,FOODCATEGORY,ADDRESS,WORKING_TIME,IMG_URL,RATE,LATITUDE,LONGITUDE,AREA,TAG_STORE,TAG_GENDER,TAG_AGE,TAG_ID
12435058,리북집 논현직영점,30,"한식(족발,보쌈)",서울 강남구 학동로2길 45 1층,월~토 11:00 ~ 00:30,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F125992504F6A94811E,3.8,127.0236029,37.5087163,논현동,분위기,여,60대이상,29
7819490,대우부대찌개,30,"한식(찌개,전골)",서울 강남구 테헤란로25길 34 1층,매일 11:00 ~ 21:30,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F91CF485996664731886529CDF2E7CAB5,3.8,127.0352733,37.5027481,역삼동,서비스,남,10대,37
1428481536,강남진해장,30,"한식(찌개,전골)",서울 강남구 테헤란로5길 11,매일 00:00 ~ 24:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD8F45C817ABC4301978E46F6C4394F75,3.3,127.0292759,37.4995003,역삼동,맛,여,40대,37
21332166,원조원주추어탕 강남본점,30,한식(추어탕),서울 강남구 강남대로110길 6,월~금 09:30 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F01062A0378E0D46E50,3.4,127.0254621,37.5040462,역삼동,가격,남,50대,37
27187696,인평일등추어탕,30,한식(추어탕),서울 강남구 선릉로 555 선릉빌딩 1층,매일 10:00 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF23E11D41D3A4B35A413E541289C880F,3.7,127.0448312,37.5079978,역삼동,서비스,여,60대이상,37
27531028,중앙해장,30,한식(해장국),서울 강남구 영동대로86길 17 육인빌딩 1층,월~토 07:00 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2342553556E27E461C,3.9,127.0654923,37.5082893,대치동,분위기,여,40대,37
8128865,필경재,31,한정식,서울 강남구 광평로 205,매일 12:00 ~ 22:00,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0DE9C06974B04CCAA49EFB405930E27F,3.4,127.0952509,37.4848682,수서동,가격,남,10대,38
8206206,단미그린비,31,한정식,서울 강남구 밤고개로14길 13-50,매일 11:30 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE28D53477F4142ADBEBFE1A54B1CC6BE,3.2,127.1026559,37.4793021,자곡동,맛,여,10대,38
11594198,남도음식토말 본점,31,한정식,서울 강남구 선릉로121길 13,월~금 11:30 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F21D687CCDA9241DAB9AA53442CC0E6C1,3.4,127.041218,37.5136992,논현동,분위기,여,10대,38
17806264,하모,31,한정식,서울 강남구 언주로 819 HB빌딩 2층,매일 11:30 ~ 22:00 ,//t1.kakaocdn.net/thumb/T800x0.q80/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF0DC928793114BE5955B6A094054C8D5,3.6,127.0327569,37.5233435,신사동,주차,여,50대,38
